,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification Group,Previous qualification (grade),Nacionality,Nationality Group,Mother's qualification,Mother's qualification Group,Father's qualification,Father's qualification Group,Mother's occupation,Mother's occupation Group,Father's occupation,Father's occupation Group,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Mother's qualification,0.19316342856136487,0.11897440888691024,-0.0649555237334365,0.054542635918904535,-0.20476689841353493,-0.013190489756120829,0.05268102235853432,-0.0606701010501484,-0.04994598307641591,-0.021326891715366194,1.0,0.7678399959681212,0.5351396811158693,0.45600087117153637,0.07677172544916404,0.5261559853232392,0.05232860658444878,0.278994279147842,-0.05441231580775926,-0.08117550503493147,-0.021534004759384297,0.01877420026975656,-0.025665335457390442,-0.05875298398875474,0.04595143773741264,0.2946142581056609,-0.03850377784958873,0.04685518650630975,0.053664026110002754,0.045440385930093426,-0.011026425838652697,-0.03615680174456352,0.00318336389939569,0.04277079304545037,0.03514966026297595,0.021033063206643735,-0.014858437284679187,-0.03117484091971626,0.021305469782989684,-0.11435116877222165,0.059440692562104006,-0.08365650750504817
Mother's qualification Group,0.1461719069487451,0.08214170906652685,-0.032609242960869506,0.06917080905160418,-0.16288848111006013,-0.03015077627715383,0.07148332688873044,-0.06777311539943306,-0.05659810986110542,-0.035875942891173324,0.7678399959681212,1.0,0.501714139952883,0.572867412459862,0.08964288044390926,0.6490106816426181,0.06161664479051444,0.35953723965934853,-0.08544565515228902,-0.04501544991994023,-0.023164999585283695,0.019040847734568978,-0.03458800859138207,-0.06836009034774371,0.10614891349872448,0.20969328356698613,-0.05821042265419011,0.021199139660647345,0.042033604677554105,0.028769771857164474,-0.02214560967078568,-0.04387442576566456,0.0028730532533142172,0.022626189282561295,0.029319875727900232,0.0021315158710586975,-0.026093976387897524,-0.04909473007793322,0.02651445711416492,-0.12763403131437007,0.0723534157231225,-0.08804341040156356
Father's qualification,0.13035320857758342,0.08327555796886787,-0.05028769940263632,0.05072447495149714,-0.13989449546126034,-0.006614090572547052,0.02791564816008052,-0.0352342196320924,-0.0852822265293258,-0.05849082208976323,0.5351396811158693,0.501714139952883,1.0,0.7632424704538822,0.05491134378979812,0.3710049118956862,0.06304345600262026,0.37344614958583916,-0.05197160233444523,-0.05598417007690626,0.0006844517524872906,-0.006845399025565333,-0.018934894549144606,-0.07412851994691497,0.1074944766929956,0.19350458811763083,-0.08689138909985175,0.04005387086863766,0.03736794791949657,0.03732572694103217,0.006121263130864338,-0.007732293065774852,-0.017333249881232613,0.042666472014759683,0.02438048889175444,0.009513771466876228,0.005284676249671045,-0.008083036191488634,-0.007430358497424674,-0.07790513515154741,0.05763309393473609,-0.0716101473842474
Father's qualification Group,0.10597745236591886,0.04215561861789957,-0.007676034502143324,0.07866583613724505,-0.11747530830808396,-0.021904904378680968,0.057280786015033176,-0.07068184375865215,-0.08828557555411379,-0.06146399225710965,0.45600087117153637,0.572867412459862,0.7632424704538822,1.0,0.07499170565200963,0.4153425378583357,0.08938369978722276,0.49180741587730686,-0.10313213529770653,-0.03858238307753419,-0.001821331951418454,-0.03034676698232494,-0.00788248133670283,-0.08033947618353422,0.12038893537297174,0.1467438468170053,-0.09422751980511944,0.011965958958897044,0.02573051035759474,0.0105215723585099,-0.009115552990226086,-0.01495514639981751,-0.01473312158839249,0.020136805484563584,0.022153784381852035,-0.004484690796465929,-0.0026454069729485007,-0.014134420467915134,0.014220101942433085,-0.10390335955326038,0.0662492196755324,-0.06448230913290408
Mother's occupation,0.03499411015963716,0.05159971767411826,-0.03903931941417863,0.03126490420183978,-0.019067019536736823,0.014821690807370187,-0.0019330002308437203,-0.011414836054405977,0.0431873333643234,0.028807533347682966,0.07677172544916404,0.08964288044390926,0.05491134378979812,0.07499170565200963,1.0,0.16495351939019492,0.910472107644332,0.0230542460490743,-0.04018615568213457,-0.05172478346391232,-0.0014433743965116001,0.10258731924875648,-0.005797551081974774,0.00291830657891243,-0.021151015764279604,0.060610899400734115,0.04392575462423957,0.008352642219191736,0.0035603705951673323,0.015384866748799282,-0.021567262054777273,-0.018014887477139665,0.014218313282067676,0.0007526799685285006,-0.006511650001032571,0.0006328703624197784,-0.03186090186807733,-0.02072447425511463,0.013090880842450544,-0.09205731154320006,0.02400336547227412,0.12426817474836449
Mother's occupation Group,0.13232171192536624,0.07599012110434544,-0.04185503889573126,0.048915820282544674,-0.1415884252926139,-0.02790545546322494,0.05309645096187772,-0.053060685717590976,0.0073123245270171385,-0.0003613286152702209,0.5261559853232392,0.6490106816426181,0.3710049118956862,0.4153425378583357,0.16495351939019492,1.0,0.06635030571524496,0.4257688200282417,-0.05457173513528866,-0.03000548581266247,-0.03356094624274301,0.03771902073034828,-0.058025539852525024,-0.01862888774948467,0.11130129940557681,0.2045845400043407,0.00428455073177839,0.029320729712580047,0.023748489930107804,0.014022098962788184,-0.03364591963521079,-0.056750628993783116,0.007527929657346418,0.03051689308399292,0.01018861462302857,-0.0065728088924577694,-0.031127143399792157,-0.0543624595387064,0.04213250616299138,-0.11596773444490031,0.08688707893336371,-0.027400781320752868
Father's occupation,0.03160903625425886,0.03670672157294657,-0.030013944843782395,0.02888067815501321,-0.015477032618295675,0.016262796971310632,-0.0025202703018875634,-0.019283907590802347,0.02062617727932397,0.011441235780252385,0.05232860658444878,0.06161664479051444,0.06304345600262026,0.08938369978722276,0.910472107644332,0.06635030571524496,1.0,0.117531183883137,-0.037733174102027096,-0.04871876044570772,0.009837330534135907,0.09648396056196493,0.004611343505011438,-0.006264693733689585,-0.017800273611779834,0.03464417547931881,0.02134621459215818,-0.0030123249399078176,-0.004581553499527875,0.006084450702360205,-0.019138493413070903,-0.01053789287411308,4.293996238130989e-05,-0.011024962164252259,-0.014097758759770906,-0.004087272771263366,-0.03041076038167236,-0.01642374846278186,-0.0076638907817136006,-0.1012145345383544,0.03054972995888103,0.1317667488355332
Father's occupation Group,0.0836818891801139,0.02688612482857825,-0.022460636970902614,0.052640318439531125,-0.08263270788020467,-0.012268997385580257,0.021421589592212315,-0.04767987496616179,-0.005049945926514087,0.002519038891466705,0.278994279147842,0.35953723965934853,0.37344614958583916,0.49180741587730686,0.0230542460490743,0.4257688200282417,0.117531183883137,1.0,-0.06104775611558316,-0.02258110265139865,-0.013255384256791666,-0.0009248603551250015,-0.03696037102153613,-0.040613312062423565,0.08170239909479389,0.1083005864918944,-0.00517425197204665,0.014240887394465716,0.022758587732858795,-0.01998640139908187,-0.009954279298813321,-0.033553838789193914,-0.027666477861756335,0.02518617034384021,0.020347952021887893,-0.022899206580028236,-0.006920067647417102,-0.029186998253272263,-0.018009018406522834,-0.08572202870227974,0.07321433454888761,0.0002643500024101085
Admission grade,-0.0047709316549481955,-0.013270570317131334,-0.09693047580319451,-0.12505756539088853,0.007970271624412257,0.18418295947970298,-0.21545402739933342,0.5804441978785279,0.02817584593932708,0.029497718019670927,-0.05441231580775926,-0.08544565515228902,-0.05197160233444523,-0.10313213529770653,-0.04018615568213457,-0.05457173513528866,-0.037733174102027096,-0.06104775611558316,1.0,-0.0005432047991474248,-0.018306057434328192,-0.014422526143384296,0.05413221898436427,0.008314795343902823,0.01888139926386667,-0.029915356674008166,0.025273698021223902,0.040828982895772976,-0.03325091679212284,-0.07205871868718784,0.07089224146352857,0.07386842181899013,0.009032613174677627,0.04022486879633586,-0.04187802229635767,-0.057131766911090086,0.07665935848713488,0.07440152995564094,-0.013254364635768625,0.038755686948737274,-0.021623575582657397,-0.019519481896555762
Displaced,-0.2348855380245832,-0.3011971664094033,0.3323617548104861,-0.08739922173036156,0.2517674392299713,-0.11518793049667517,0.06772271405410285,-0.011001447536083066,-0.007447588858302415,-0.005368215686473416,-0.08117550503493147,-0.04501544991994023,-0.05598417007690626,-0.03858238307753419,-0.05172478346391232,-0.03000548581266247,-0.04871876044570772,-0.02258110265139865,-0.0005432047991474248,1.0,0.004395398272324827,-0.08990133142771384,0.09602714056035448,-0.12581464128671463,0.07288739407659228,-0.36203157875027486,-0.009687269154616736,-0.09726770583529905,-0.06381217989955101,-0.0776645654807425,0.04768168269266847,0.06481518632302435,-0.02167082298962425,-0.09173776373661373,-0.041823317303661234,-0.03883872687538028,0.06369769533893962,0.06908730724184545,-0.03595871889579625,-0.1303267932436151,-0.012384975352716803,0.06287471933763164
Educational special needs,-0.02834332882457072,-0.03077942004150877,0.025597106042180285,-0.018794625065631013,0.031016530373151743,-0.010460778352738518,0.016215955808175468,-0.0014578822923876542,-0.005982415388232573,0.005946019881014355,-0.021534004759384297,-0.023164999585283695,0.0006844517524872906,-0.001821331951418454,-0.0014433743965116001,-0.03356094624274301,0.009837330534135907,-0.013255384256791666,-0.018306057434328192,0.004395398272324827,1.0,0.0013434467703953503,0.013629958506507852,-0.0174613956978272,0.021222832169375216,-0.03698679616758455,-0.003645637218604845,-0.024411261442691998,-0.034837055359021686,-0.025971569679634328,-0.01987314439311475,-0.01228384789369001,-0.012324210665041767,-0.021671138116126303,-0.02877664039184073,-0.010850561156331361,-0.01631533974343896,-0.012760764871675594,-0.007490587766725652,0.04613109651092124,0.004396470733173414,0.012016080371812751
Debtor,0.03430358168090552,0.12281788722577065,-0.0721510312356354,-0.032672672159789355,0.006658312566711278,0.09510393034911022,0.03188116707917054,-0.037506764440662387,0.051988956042750854,0.0773448491370825,0.01877420026975656,0.019040847734568978,-0.006845399025565333,-0.03034676698232494,0.10258731924875648,0.03771902073034828,0.09648396056196493,-0.0009248603551250015,-0.014422526143384296,-0.08990133142771384,0.0013434467703953503,1.0,-0.408454049321296,0.05381158910171945,-0.06748940007494854,0.09879309051033405,0.07542263694003479,0.03405316456114463,-0.010651651604343218,0.036053952304329236,-0.10665659609397624,-0.10417004023301175,0.001812011377664961,0.025413737815048784,-0.029435821623636334,0.02420096754835106,-0.14697727522564366,-0.1394238420602217,0.048552439308020875,0.021128058674874318,-0.021888172449337842,0.07504989585797912
Tuition fees up to date,-0.08715840024477993,-0.13626213248098537,0.05589072170653852,0.018381190529381065,0.03879915467330761,-0.06845312023524772,0.009673849922611324,0.06057800233977736,-0.026114694157766724,-0.051531578878779634,-0.025665335457390442,-0.03458800859138207,-0.018934894549144606,-0.00788248133670283,-0.005797551081974774,-0.058025539852525024,0.004611343505011438,-0.03696037102153613,0.05413221898436427,0.09602714056035448,0.013629958506507852,-0.408454049321296,1.0,-0.10409764001823045,0.13742093635366334,-0.17809858473540685,-0.04420182827158077,0.003803402554535812,0.058721430322234376,0.027514183784233325,0.23934712389675614,0.2503936118590701,-0.0497750580117851,0.014203655723727615,0.08591757145594628,0.06348196970069242,0.2919206345230658,0.296479536666114,-0.0718170124603157,0.013460392079303505,-0.0007063886206365202,-0.0027679395506693787
Gender,-0.01473802800771993,0.16012976016912664,-0.08955904327353448,-0.09957078610326973,-0.012325755116616455,0.07868440288549343,0.020264463965272875,-0.047873559114221864,-0.023257928636227183,-0.02000844550981685,-0.05875298398875474,-0.06836009034774371,-0.07412851994691497,-0.08033947618353422,0.00291830657891243,-0.01862888774948467,-0.006264693733689585,-0.040613312062423565,0.008314795343902823,-0.12581464128671463,-0.0174613956978272,0.05381158910171945,-0.10409764001823045,1.0,-0.1693016901367178,0.14883515349829457,-0.02641512050155332,0.017098759810941968,-0.0952528309864995,-0.0213340960096703,-0.18382898834074532,-0.1894482665609778,-0.006301740434462006,0.018737359324715423,-0.12422704219275348,-0.0417890109392284,-0.2242661443991583,-0.19913331872218232,0.057222668835985396,0.022195416351860373,0.0035564171725249835,-0.00810763976667546
Scholarship holder,-0.05376535787021899,-0.16311656499851754,0.07370924923057666,0.01713781096234859,0.09391203221918333,-0.07051285849572711,0.08741325627354432,0.05596547806062643,-0.010489963331258779,-0.030424629122842866,0.04595143773741264,0.10614891349872448,0.1074944766929956,0.12038893537297174,-0.021151015764279604,0.11130129940557681,-0.017800273611779834,0.08170239909479389,0.01888139926386667,0.07288739407659228,0.021222832169375216,-0.06748940007494854,0.13742093635366334,-0.1693016901367178,1.0,-0.18991694305420695,-0.02797163160219358,-0.08871828861500686,-0.00492686019467561,-0.0634285553211845,0.1537721617567756,0.16832374783826967,-0.057769520100782845,-0.07648017707076689,0.026415902642224976,-0.021409589927563304,0.20270421570556482,0.18122723549830988,-0.048723293065955575,0.055152060598725926,-0.031103909387470974,0.03565041879610047
Age at enrollment,0.5227171684130265,0.5162427253595344,-0.27115444124886157,0.042993692292094925,-0.4622802478853898,0.15623420407748367,-0.0606847933861984,-0.11137694708499359,-0.0036467440507631163,-0.015539368347278959,0.2946142581056609,0.20969328356698613,0.19350458811763083,0.1467438468170053,0.060610899400734115,0.2045845400043407,0.03464417547931881,0.1083005864918944,-0.029915356674008166,-0.36203157875027486,-0.03698679616758455,0.09879309051033405,-0.17809858473540685,0.14883515349829457,-0.18991694305420695,1.0,-0.007111164348114772,0.2268367994811601,0.14132678029438198,0.1399113931349705,-0.05340477494309698,-0.15661584876982762,0.05746978072869072,0.20756067571964962,0.08591396850995932,0.05628632810996371,-0.11205177787810326,-0.17341895553989406,0.0616538593501903,0.025017758300938206,0.02537703647241084,-0.06467811172086704
International,-0.02790493478597115,0.003437719580345377,-0.028801490428350854,-0.026736746453156043,0.027973048907386347,-0.026225787255179087,0.019351358183828375,0.04852877898643048,0.7909349101784291,0.8399874347433504,-0.03850377784958873,-0.05821042265419011,-0.08689138909985175,-0.09422751980511944,0.04392575462423957,0.00428455073177839,0.02134621459215818,-0.00517425197204665,0.025273698021223902,-0.009687269154616736,-0.003645637218604845,0.07542263694003479,-0.04420182827158077,-0.02641512050155332,-0.02797163160219358,-0.007111164348114772,1.0,0.008549748265635145,0.0013096707439294438,0.012542665260381336,0.00528975383354402,0.006313883752740188,0.031221837162680108,0.002572947315210533,-0.013576877323675813,-0.004398915771505586,-0.010564930398537078,0.0014604004467740062,-0.010660417429581154,-0.010014693411469341,-0.009642165409182276,0.044389485688965905
Curricular units 1st sem (credited),0.06120935310800539,0.24742606131538103,-0.1333537242198571,-0.09633472406666062,-0.12746560112364294,0.16602453164939815,-0.2393143616146042,-0.00887204153606457,-0.00036978328624816666,0.01186075952233414,0.04685518650630975,0.021199139660647345,0.04005387086863766,0.011965958958897044,0.008352642219191736,0.029320729712580047,-0.0030123249399078176,0.014240887394465716,0.040828982895772976,-0.09726770583529905,-0.024411261442691998,0.03405316456114463,0.003803402554535812,0.017098759810941968,-0.08871828861500686,0.2268367994811601,0.008549748265635145,1.0,0.7743441891168912,0.542919440962828,0.6283944209937343,0.12297756544716604,0.11626205372108567,0.9448110366582713,0.6448259027030505,0.4278450802088304,0.4904778893550171,0.13297056285065728,0.05525634120017356,0.009778397068702364,0.023348295336197457,-0.026513179948448755
Curricular units 1st sem (enrolled),0.052107318904339284,0.16429855857686812,-0.016807713169654064,0.3284607509847846,-0.04305623214899582,0.07870160318172707,-0.14330907405922907,-0.029169335152124564,-0.013291980892935821,0.008671528883043018,0.053664026110002754,0.042033604677554105,0.03736794791949657,0.02573051035759474,0.0035603705951673323,0.023748489930107804,-0.004581553499527875,0.022758587732858795,-0.03325091679212284,-0.06381217989955101,-0.034837055359021686,-0.010651651604343218,0.058721430322234376,-0.0952528309864995,-0.00492686019467561,0.14132678029438198,0.0013096707439294438,0.7743441891168912,1.0,0.6802196375654453,0.7690834766824151,0.37699587978576826,0.1293368788623711,0.7537467053534808,0.942626693015919,0.5995667041335415,0.6733405210551701,0.36195891422191623,0.06954735323090139,0.038403669409056235,0.03675802639560093,-0.026262072764580636
Curricular units 1st sem (evaluations),0.05803029434242169,0.22593765669932497,-0.09215560983213944,0.2728448393190916,-0.04588922855802258,0.13059693399632727,-0.09711770024381698,-0.07070239069617822,-0.007763392537482597,0.026153517560987456,0.045440385930093426,0.028769771857164474,0.03732572694103217,0.0105215723585099,0.015384866748799282,0.014022098962788184,0.006084450702360205,-0.01998640139908187,-0.07205871868718784,-0.0776645654807425,-0.025971569679634328,0.036053952304329236,0.027514183784233325,-0.0213340960096703,-0.0634285553211845,0.1399113931349705,0.012542665260381336,0.542919440962828,0.6802196375654453,1.0,0.5223961492004169,0.4180381815850619,0.24180046898851143,0.5221865341498277,0.6118417395322454,0.7788631362482398,0.442265251614672,0.3550358900228542,0.1342959130612809,0.06154453761386935,-0.006603820239527599,-0.09976129193677881
Curricular units 1st sem (approved),-0.03102652954278237,-0.029054601018558737,0.03558037532090577,0.18049980942050925,0.016934978565683018,0.02202028952153494,-0.09996882418548143,0.04841006704467333,-0.0022677320137882923,0.007432893718050638,-0.011026425838652697,-0.02214560967078568,0.006121263130864338,-0.009115552990226086,-0.021567262054777273,-0.03364591963521079,-0.019138493413070903,-0.009954279298813321,0.07089224146352857,0.04768168269266847,-0.01987314439311475,-0.10665659609397624,0.23934712389675614,-0.18382898834074532,0.1537721617567756,-0.05340477494309698,0.00528975383354402,0.6283944209937343,0.7690834766824151,0.5223961492004169,1.0,0.6961132697952199,-0.013359722071233832,0.607661190432814,0.7337718828670937,0.5399343455592992,0.9040021013038965,0.685560189671405,-0.05398299584633254,0.05128646323966933,-0.0071138154828429435,0.018458670873930674
Curricular units 1st sem (grade),-0.05981064330169998,-0.11774138967860934,0.058308438803627884,0.38934939749371245,0.06397387192522577,-0.0004966660692520965,-0.02634108915832782,0.05943750529132413,0.000869488139595787,0.0027841398098405047,-0.03615680174456352,-0.04387442576566456,-0.007732293065774852,-0.01495514639981751,-0.018014887477139665,-0.056750628993783116,-0.01053789287411308,-0.033553838789193914,0.07386842181899013,0.06481518632302435,-0.01228384789369001,-0.10417004023301175,0.2503936118590701,-0.1894482665609778,0.16832374783826967,-0.15661584876982762,0.006313883752740188,0.12297756544716604,0.37699587978576826,0.4180381815850619,0.6961132697952199,1.0,-0.07166049584236359,0.11393731377810562,0.406166667068421,0.4872356143470066,0.6733349328338567,0.8371697405964219,-0.06607617624759954,0.014820945247553508,-0.03390356736507015,0.05480076361937073
